Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	Star Wars: Episode VII - The Force Awakens	$936,662,225	4,134	$247,966,675	4,134	Dec 18, 2015	Walt Disney Studios Motion Pictures	Lucasfilm
2	Star Wars: Episode VIII - The Last Jedi	$620,181,382	4,232	$220,009,584	4,232	Dec 15, 2017	Walt Disney Studios Motion Pictures	Lucasfilm
3	Rogue One: A Star Wars Story	$532,177,324	4,157	$155,081,681	4,157	Dec 16, 2016	Walt Disney Studios Motion Pictures	Lucasfilm
4	Star Wars: Episode IX - The Rise of Skywalker	$515,202,542	4,406	$177,383,864	4,406	December 20, 2019	Walt Disney Studios Motion Pictures	Lucasfilm
5	Star Wars: Episode I - The Phantom Menace	$431,088,295	3,126	$64,820,970	2,970	May 19, 1999	Twentieth Century Fox	Lucasfilm
6	Star Wars: Episode III - Revenge of the Sith	$380,270,577	3,663	$108,435,841	3,661	May 19, 2005	Twentieth Century Fox	Lucasfilm
7	Indiana Jones and the Kingdom of the Crystal Skull	$317,101,119	4,264	$100,137,835	4,260	May 22, 2008	Paramount Pictures	Lucasfilm
8	Star Wars: Episode IV - A New Hope	$307,263,857	1,750	$1,554,475	43	May 25, 1977	Twentieth Century Fox	Lucasfilm
9	Star Wars: Episode II - Attack of the Clones	$302,191,252	3,161	$80,027,814	3,161	May 16, 2002	Twentieth Century Fox	Lucasfilm
10	Star Wars: Episode VI - Return of the Jedi	$252,583,617	1,764	$23,019,618	1,002	May 25, 1983	Twentieth Century Fox	Lucasfilm
11	Solo: A Star Wars Story	$213,767,512	4,381	$84,420,489	4,381	May 25, 2018	Walt Disney Studios Motion Pictures	Lucasfilm
12	Raiders of the Lost Ark	$212,222,025	1,078	$8,305,823	1,078	June 12, 1981	Paramount Pictures	Lucasfilm
13	Star Wars: Episode V - The Empire Strikes Back	$209,398,025	1,278	$4,910,483	126	May 21, 1980	Twentieth Century Fox	Lucasfilm
14	Indiana Jones and the Last Crusade	$197,171,806	2,327	$29,355,021	2,327	May 24, 1989	Paramount Pictures	Lucasfilm
15	Indiana Jones and the Temple of Doom	$179,870,271	1,687	$25,337,110	1,687	May 23, 1984	Paramount Pictures	Lucasfilm
16	Star Wars: Episode IV - A New Hope1997 Special Edition	$138,257,865	2,375	$35,906,661	2,104	January 31, 1997	Twentieth Century Fox	Lucasfilm
17	American Graffiti	$115,000,000	-	-	-	Aug 1, 1973	Universal Pictures	Lucasfilm
18	Star Wars: Episode V - The Empire Strikes Back1997 Special Edition	$67,597,694	2,322	$21,975,993	2,111	Feb 21, 1997	Twentieth Century Fox	Lucasfilm
19	Willow	$57,269,863	1,209	$8,300,169	1,024	May 20, 1988	Metro-Goldwyn-Mayer (MGM)	Lucasfilm
20	Red Tails	$49,876,377	2,573	$18,782,154	2,512	Jan 20, 2012	Twentieth Century Fox	Lucasfilm
21	Star Wars: Episode VI - Return of the Jedi1997 Special Edition	$45,470,437	2,111	$16,293,531	2,111	Mar 14, 1997	Twentieth Century Fox	Lucasfilm
22	Star Wars: Episode I - The Phantom Menace2012 3D Release	$43,456,382	2,655	$22,469,932	2,655	Feb 10, 2012	Twentieth Century Fox	Lucasfilm
23	Star Wars: The Clone Wars	$35,161,554	3,452	$14,611,273	3,452	Aug 15, 2008	Warner Bros.	Lucasfilm
24	Raiders of the Lost Ark1982 Re-release	$21,437,879	1,330	$4,347,101	1,330	Jul 16, 1982	Paramount Pictures	Lucasfilm
25	Tucker: The Man and His Dream	$19,652,638	720	$3,709,562	720	August 12, 1988	Paramount Pictures	Lucasfilm
26	Howard the Duck	$16,295,774	1,563	$5,070,136	1,554	Aug 1, 1986	Universal Pictures	Lucasfilm
27	Star Wars: Episode IV - A New Hope1982 Re-release	$15,476,785	1,070	$3,766,803	1,070	Aug 13, 1982	Twentieth Century Fox	Lucasfilm
28	More American Graffiti	$15,014,674	-	-	-	Aug 3, 1979	Universal Pictures	Lucasfilm
29	Star Wars: Episode V - The Empire Strikes Back1982 Re-release	$13,276,241	1,006	$3,949,478	992	Nov 19, 1982	Twentieth Century Fox	Lucasfilm
30	Labyrinth	$12,729,917	1,141	$3,549,243	1,141	Jun 27, 1986	TriStar Pictures	Lucasfilm
31	Strange Magic	$12,429,583	3,020	$5,504,441	3,020	Jan 23, 2015	Walt Disney Studios Motion Pictures	Lucasfilm
32	Raiders of the Lost Ark1983 Re-release	$11,374,454	628	$1,327,451	628	Mar 25, 1983	Paramount Pictures	Lucasfilm
33	Star Wars: Episode VI - Return of the Jedi1985 Re-release	$11,252,123	894	$3,209,056	849	Mar 29, 1985	Twentieth Century Fox	Lucasfilm
34	Star Wars: Episode II - Attack of the Clones2002 IMAX Release	$8,485,488	58	$1,435,259	58	Nov 1, 2002	Twentieth Century Fox	Lucasfilm
35	Raiders of the Lost Ark2012 IMAX Release	$3,125,613	322	$1,673,731	267	Sep 7, 2012	Paramount Pictures	Lucasfilm
36	Radioland Murders	$1,316,865	844	$835,570	844	Oct 21, 1994	Universal Pictures	Lucasfilm
37	Labyrinth2018 Re-release	$993,336	685	$558,857	576	Apr 29, 2018	Fathom Events	Lucasfilm
38	Mishima: A Life in Four Chapters	$437,547	14	-	-	Sep 13, 1985	Warner Bros.	Lucasfilm
